4571	2431479,2449420,2606703,3249896,3277622,3294681,3254709,3258775,3281626,3269681,3257721,3269408,3270639,3270740,3266311,3251922,3277350,1634747
4701	2453303,2515798,2689037,3249690,3266864,3258775,3290448,3251226,3274981,3270639,3256088,3251922,3252556,3257811,1867056,2136250,504548
4732	2639798,2882768,3014582,3026416,3250059,3280154,3268778,3251508,3275743,3289162,3275826,3276790,3285140,3292185,3276904,3287448,3270850,3291173,831651,1313594,654850,69396,2224254,687470,284891,504814,1646307,220644,1022288,395440,152831,38397,545505,406858,24874,243907
4805	2522775,2777785,3250054,3255700,3278568,3267851,3289931,3286800,3272754,3278770,3270627,3266325,3264197,3273418,3251809,3262631,3276035,3294418,3259215,3271375,3263397,1133301,1336734,1360792,2361062,1615926
4819	2401398,3027922,3250571,3256965,3259820,3277309,3267816,3252926,3252283,3259110,3278767,3285891,3284457,2184248
4823	2563549,2722905,3250571,3262137,3270556,3258775,3276204,3272781,3276205,3255003,3270740,3251922,1083285
4956	2640632,2780911,2799165,2839572,3249770,3263185,3291655,3262035,3259775,3251984,3270740,3262733,3283033,3292253,1381076,533772,204382,411135,2225433,744601,165453,358297
4962	2426572,2535114,2799074,2930218,2947505,3249554,3258103,3285374,3260223,3284587,3275362,3263974,3272717,3251983,3261130,826052,1785980,1368779
4992	2585544,2855886,3249930,3272657,3261338,3277435,3284446,3280043,3268675,3254891,3284021,3287500,909934,1804427,1649411,1921870,886564,276639
5038	2538065,2637499,3137712,3250571,3258103,3285374,3274374,3258775,3268746,3257159,3267918,3276204,3256671,3272717,3256088,3251922,3251934,3261130,2145511,2320535
5337	2444066,2636883,2649427,3249573,3291851,3288790,3256748,3252654,3270850,3291173,1347784,1725926,1594954,326186,454643,648402,1780760,337546,518795,127788
5492	2590934,2924699,3250059,3263185,3281820,3257936,3277554,3280258,3266962,3290681,3261130,1466755,1226885,2063971,1864342,943272,476814,767252
5508	3036859,3249554,3285374,3258775,3284686,3268746,3288912,3263974,3266634,3272717,3262409,3286283,1180883
5589	2498112,3250275,3258103,3285374,3256741,3274374,3257988,3273145,3264972,3294783,3262409,3268007,3252654,3266962,3260326,3276922,1153036,1867056,57079,1142796
5632	2674207,2977395,3250174,3291025,3280644,3259112,3269326,3269846,3260495,3263477,3252538,1971554
5975	2540548,2594795,3219693,3249930,3258103,3284587,3286069,3287801,3272717,3291684,3251200,3291249,3257432,3287906,3284021,3257647,3266962,3262733,3259301,3292049,1879230,1098396,1898463,852011,937909,2076338,395148,541872,840205,973010,1368779
6047	3024411,3250571,3284587,3276204,3273335,1867056
6080	2542221,3249930,3266864,3266129,3290162,3268071,3276790,3277554,3270740,2122818,1005030,2136250,1413483,926377,1847501
6189	2464233,2507646,2658804,3249770,3277628,3277955,3260223,3284686,3270665,3277435,3257159,3253150,3254891,3278293,782139,2351172
